"","x"
"1","Cyto"
"2","Cyto"
"3","Cyto"
"4","Cyto"
"5","Cyto"
"6","Cyto"
"7","Cyto"
"8","Cyto"
"9","Cyto"
"10","Cyto"
"11","Cyto"
"12","Cyto"
"13","Cyto"
"14","Cyto"
"15","Cyto"
"16","Cyto"
"17","Cyto"
"18","Cyto"
"19","Cyto"
"20","Cyto"
"21","Cyto"
"22","Cyto"
"23","Cyto"
"24","Cyto"
"25","Cyto"
"26","Cyto"
"27","Cyto"
"28","Cyto"
"29","Cyto"
"30","Cyto"
"31","Cyto"
"32","Cyto"
"33","Cyto"
"34","Cyto"
"35","Cyto"
"36","Cyto"
"37","Cyto"
"38","Cyto"
"39","Cyto"
"40","Cyto"
"41","Cyto"
"42","Cyto"
"43","Cyto"
"44","Cyto"
"45","Cyto"
"46","Cyto"
"47","Cyto"
"48","Cyto"
"49","Cyto"
"50","Cyto"
"51","Cyto"
"52","Cyto"
"53","Cyto"
"54","Cyto"
"55","Cyto"
"56","Cyto"
"57","Cyto"
"58","Cyto"
"59","Cyto"
"60","Cyto"
"61","Cyto"
"62","Cyto"
"63","Cyto"
"64","Cyto"
"65","Cyto"
"66","Cyto"
"67","Cyto"
"68","Cyto"
"69","Cyto"
"70","Cyto"
"71","Cyto"
"72","Cyto"
"73","Cyto"
"74","Cyto"
"75","Cyto"
"76","Cyto"
"77","Cyto"
"78","Cyto"
"79","Cyto"
"80","Cyto"
"81","Cyto"
"82","Cyto"
"83","Cyto"
"84","Cyto"
"85","Cyto"
"86","Cyto"
"87","Cyto"
"88","Cyto"
"89","Cyto"
"90","Cyto"
"91","Cyto"
"92","Cyto"
"93","Cyto"
"94","Cyto"
"95","Cyto"
"96","Cyto"
"97","Cyto"
"98","Cyto"
"99","Cyto"
"100","Cyto"
"101","Cyto"
"102","Cyto"
"103","Cyto"
"104","Cyto"
"105","Cyto"
"106","Cyto"
"107","Cyto"
"108","Cyto"
"109","Cyto"
"110","Cyto"
"111","Cyto"
"112","Cyto"
"113","Cyto"
"114","Cyto"
"115","Cyto"
"116","Cyto"
"117","Cyto"
"118","Cyto"
"119","Cyto"
"120","Cyto"
"121","Cyto"
"122","Cyto"
"123","Cyto"
"124","Cyto"
"125","Cyto"
"126","Cyto"
"127","Cyto"
"128","Cyto"
"129","Cyto"
"130","Cyto"
"131","Cyto"
"132","Cyto"
"133","Cyto"
"134","Cyto"
"135","Cyto"
"136","Cyto"
"137","Cyto"
"138","Cyto"
"139","Cyto"
"140","Cyto"
"141","Cyto"
"142","Cyto"
"143","Cyto"
"144","Cyto"
"145","Cyto"
"146","Cyto"
"147","Cyto"
"148","Cyto"
"149","Cyto"
"150","Cyto"
"151","Cyto"
"152","Cyto"
"153","Cyto"
"154","Cyto"
"155","Cyto"
"156","Cyto"
"157","Cyto"
"158","Cyto"
"159","Cyto"
"160","Cyto"
"161","Cyto"
"162","Cyto"
"163","Cyto"
"164","Cyto"
"165","Cyto"
"166","Cyto"
"167","Cyto"
"168","Cyto"
"169","Cyto"
"170","Cyto"
"171","Cyto"
"172","Cyto"
"173","Cyto"
"174","Cyto"
"175","Cyto"
"176","Cyto"
"177","Cyto"
"178","Cyto"
"179","Cyto"
"180","Cyto"
"181","Cyto"
"182","Cyto"
"183","Cyto"
"184","Cyto"
"185","Cyto"
"186","Cyto"
"187","Cyto"
"188","Cyto"
"189","Cyto"
"190","Cyto"
"191","Cyto"
"192","Cyto"
"193","Cyto"
"194","Cyto"
"195","Cyto"
"196","Cyto"
"197","Cyto"
"198","Cyto"
"199","Cyto"
"200","Cyto"
"201","Cyto"
"202","Cyto"
"203","Cyto"
"204","Cyto"
"205","Cyto"
"206","Cyto"
"207","Cyto"
"208","Cyto"
"209","Cyto"
"210","Cyto"
"211","Cyto"
"212","Cyto"
"213","Cyto"
"214","Cyto"
"215","Cyto"
"216","Cyto"
"217","Cyto"
"218","Cyto"
"219","Cyto"
"220","Cyto"
"221","Cyto"
"222","Cyto"
"223","Cyto"
"224","Cyto"
"225","Cyto"
"226","Cyto"
"227","Cyto"
"228","Cyto"
"229","Cyto"
"230","Cyto"
"231","Cyto"
"232","Cyto"
"233","Cyto"
"234","Cyto"
"235","Cyto"
"236","Cyto"
"237","Cyto"
"238","Cyto"
"239","Cyto"
"240","Cyto"
"241","Cyto"
"242","Cyto"
"243","Cyto"
"244","Cyto"
"245","Cyto"
"246","Cyto"
"247","Cyto"
"248","Cyto"
"249","Cyto"
"250","Cyto"
"251","Cyto"
"252","Cyto"
"253","Cyto"
"254","Cyto"
"255","Cyto"
"256","Cyto"
"257","Cyto"
"258","Cyto"
"259","Cyto"
"260","Cyto"
"261","Cyto"
"262","Cyto"
"263","Cyto"
"264","Cyto"
"265","Cyto"
"266","Cyto"
"267","Cyto"
"268","Cyto"
"269","Cyto"
"270","Cyto"
"271","Cyto"
"272","Cyto"
"273","Cyto"
"274","Cyto"
"275","Cyto"
"276","Cyto"
"277","Cyto"
"278","Cyto"
"279","Cyto"
"280","Cyto"
"281","Cyto"
"282","Cyto"
"283","Cyto"
"284","Cyto"
"285","Cyto"
"286","Cyto"
"287","Cyto"
"288","Cyto"
"289","Cyto"
"290","Cyto"
"291","Cyto"
"292","Cyto"
"293","Cyto"
"294","Cyto"
"295","Cyto"
"296","Cyto"
"297","Cyto"
"298","Cyto"
"299","Cyto"
"300","Cyto"
"301","Cyto"
"302","Cyto"
"303","Cyto"
"304","Cyto"
"305","Cyto"
"306","Cyto"
"307","Cyto"
"308","Cyto"
"309","Cyto"
"310","Cyto"
"311","Cyto"
"312","Cyto"
"313","Cyto"
"314","Cyto"
"315","Cyto"
"316","Cyto"
"317","Cyto"
"318","Cyto"
"319","Cyto"
"320","Cyto"
"321","Cyto"
"322","Cyto"
"323","Cyto"
"324","Cyto"
"325","Cyto"
"326","Cyto"
"327","Cyto"
"328","Cyto"
"329","Cyto"
"330","Cyto"
"331","Cyto"
"332","Cyto"
"333","Cyto"
"334","Cyto"
"335","Cyto"
"336","Cyto"
"337","Cyto"
"338","Cyto"
"339","Cyto"
"340","Cyto"
"341","Cyto"
"342","Cyto"
"343","Cyto"
"344","Cyto"
"345","Cyto"
"346","Cyto"
"347","Cyto"
"348","Cyto"
"349","Cyto"
"350","Cyto"
"351","Cyto"
"352","Cyto"
"353","Cyto"
"354","Cyto"
"355","Cyto"
"356","Cyto"
"357","Cyto"
"358","Cyto"
"359","Cyto"
"360","Cyto"
"361","Cyto"
"362","Cyto"
"363","Cyto"
"364","Cyto"
"365","Cyto"
"366","Cyto"
"367","Cyto"
"368","Cyto"
"369","Cyto"
"370","Cyto"
"371","Cyto"
"372","Cyto"
"373","Cyto"
"374","Cyto"
"375","Cyto"
"376","Cyto"
"377","Cyto"
"378","Cyto"
"379","Cyto"
"380","Cyto"
"381","Cyto"
"382","Cyto"
"383","Cyto"
"384","Cyto"
"385","Cyto"
"386","Cyto"
"387","Cyto"
"388","Cyto"
"389","Cyto"
"390","Cyto"
"391","Cyto"
"392","Cyto"
"393","Cyto"
"394","Cyto"
"395","Cyto"
"396","Cyto"
"397","Cyto"
"398","Cyto"
"399","Cyto"
"400","Cyto"
"401","Cyto"
"402","Cyto"
"403","Cyto"
"404","Cyto"
"405","Cyto"
"406","Cyto"
"407","Cyto"
"408","Cyto"
"409","Cyto"
"410","Cyto"
"411","Cyto"
"412","Cyto"
"413","Cyto"
"414","Cyto"
"415","Cyto"
"416","Cyto"
"417","Cyto"
"418","Cyto"
"419","Cyto"
"420","Cyto"
"421","Cyto"
"422","Cyto"
"423","Cyto"
"424","Cyto"
"425","Cyto"
"426","Cyto"
"427","Cyto"
"428","Cyto"
"429","Cyto"
"430","Cyto"
"431","Cyto"
"432","Cyto"
"433","Cyto"
"434","Cyto"
"435","Cyto"
"436","Cyto"
"437","Cyto"
"438","Cyto"
"439","Cyto"
"440","Cyto"
"441","Cyto"
"442","Cyto"
"443","Cyto"
"444","Cyto"
"445","Cyto"
"446","Cyto"
"447","Cyto"
"448","Cyto"
"449","Cyto"
"450","Cyto"
"451","Cyto"
"452","Cyto"
"453","Cyto"
"454","Cyto"
"455","Cyto"
"456","Cyto"
"457","Cyto"
"458","Cyto"
"459","Cyto"
"460","Cyto"
"461","Cyto"
"462","Cyto"
"463","Cyto"
"464","Cyto"
"465","Cyto"
"466","Cyto"
"467","Cyto"
"468","Cyto"
"469","Cyto"
"470","Cyto"
"471","Cyto"
"472","Cyto"
"473","Cyto"
"474","Cyto"
"475","Cyto"
"476","Cyto"
"477","Cyto"
"478","Cyto"
"479","Cyto"
"480","Cyto"
"481","Cyto"
"482","Cyto"
"483","Cyto"
"484","Cyto"
"485","Cyto"
"486","Cyto"
"487","Cyto"
"488","Cyto"
"489","Cyto"
"490","Cyto"
